cluster,ts,model,bucket,model_p,market_p,realized
wellington/2026-05-16,2026-05-15T22:54:13.133751+00:00,recorded_legacy,exact:13,0.1638,0.775,1
wellington/2026-05-16,2026-05-15T22:54:13.133751+00:00,recorded_legacy,exact:14,0.6872,0.205,0
wellington/2026-05-16,2026-05-15T22:54:13.133751+00:00,recorded_legacy,exact:15,0.1483,0.003500000000000001,0
wellington/2026-05-16,2026-05-15T22:54:13.133751+00:00,recorded_legacy,higher:16,0.0007,0.0025000000000000005,0
wellington/2026-05-16,2026-05-15T22:54:13.133751+00:00,replay_kalman,exact:13,0.5832,0.775,1
wellington/2026-05-16,2026-05-15T22:54:13.133751+00:00,replay_kalman,exact:14,0.3724,0.205,0
wellington/2026-05-16,2026-05-15T22:54:13.133751+00:00,replay_kalman,exact:15,0.0438,0.003500000000000001,0
wellington/2026-05-16,2026-05-15T22:54:13.133751+00:00,replay_kalman,higher:16,0.0006,0.0025000000000000005,0
wellington/2026-05-16,2026-05-15T23:02:38.427190+00:00,recorded_legacy,exact:13,0.6729999999999999,0.77,1
wellington/2026-05-16,2026-05-15T23:02:38.427190+00:00,recorded_legacy,exact:14,0.31199999999999994,0.205,0
wellington/2026-05-16,2026-05-15T23:02:38.427190+00:00,recorded_legacy,exact:15,0.014899999999999997,0.011000000000000003,0
wellington/2026-05-16,2026-05-15T23:02:38.427190+00:00,recorded_legacy,higher:16,9.999999999999998e-05,0.0025000000000000005,0
wellington/2026-05-16,2026-05-15T23:02:38.427190+00:00,replay_kalman,exact:13,0.3872,0.77,1
wellington/2026-05-16,2026-05-15T23:02:38.427190+00:00,replay_kalman,exact:14,0.5166,0.205,0
wellington/2026-05-16,2026-05-15T23:02:38.427190+00:00,replay_kalman,exact:15,0.0918,0.011000000000000003,0
wellington/2026-05-16,2026-05-15T23:02:38.427190+00:00,replay_kalman,higher:16,0.0044,0.0025000000000000005,0
wellington/2026-05-17,2026-05-16T22:05:21.579128+00:00,recorded_legacy,exact:13,0.41740000000000005,0.29500000000000004,0
wellington/2026-05-17,2026-05-16T22:05:21.579128+00:00,recorded_legacy,exact:14,0.5082000000000001,0.53,1
wellington/2026-05-17,2026-05-16T22:05:21.579128+00:00,recorded_legacy,exact:15,0.07300000000000001,0.09999999999999999,0
wellington/2026-05-17,2026-05-16T22:05:21.579128+00:00,recorded_legacy,exact:16,0.0014000000000000002,0.018000000000000006,0
wellington/2026-05-17,2026-05-16T22:05:21.579128+00:00,recorded_legacy,exact:17,0.0,0.002500000000000001,0
wellington/2026-05-17,2026-05-16T22:05:21.579128+00:00,replay_kalman,exact:13,0.2296,0.29500000000000004,0
wellington/2026-05-17,2026-05-16T22:05:21.579128+00:00,replay_kalman,exact:14,0.5614,0.53,1
wellington/2026-05-17,2026-05-16T22:05:21.579128+00:00,replay_kalman,exact:15,0.193,0.09999999999999999,0
wellington/2026-05-17,2026-05-16T22:05:21.579128+00:00,replay_kalman,exact:16,0.0156,0.018000000000000006,0
wellington/2026-05-17,2026-05-16T22:05:21.579128+00:00,replay_kalman,exact:17,0.0004,0.002500000000000001,0
wellington/2026-05-17,2026-05-16T22:15:19.364623+00:00,recorded_legacy,exact:13,0.3771,0.29500000000000004,0
wellington/2026-05-17,2026-05-16T22:15:19.364623+00:00,recorded_legacy,exact:14,0.5358,0.515,1
wellington/2026-05-17,2026-05-16T22:15:19.364623+00:00,recorded_legacy,exact:15,0.0855,0.105,0
wellington/2026-05-17,2026-05-16T22:15:19.364623+00:00,recorded_legacy,exact:16,0.0016,0.019000000000000006,0
wellington/2026-05-17,2026-05-16T22:15:19.364623+00:00,recorded_legacy,exact:17,0.0,0.002500000000000001,0
wellington/2026-05-17,2026-05-16T22:15:19.364623+00:00,replay_kalman,exact:13,0.2342,0.29500000000000004,0
wellington/2026-05-17,2026-05-16T22:15:19.364623+00:00,replay_kalman,exact:14,0.5708,0.515,1
wellington/2026-05-17,2026-05-16T22:15:19.364623+00:00,replay_kalman,exact:15,0.1798,0.105,0
wellington/2026-05-17,2026-05-16T22:15:19.364623+00:00,replay_kalman,exact:16,0.0152,0.019000000000000006,0
wellington/2026-05-17,2026-05-16T22:15:19.364623+00:00,replay_kalman,exact:17,0.0,0.002500000000000001,0
wellington/2026-05-17,2026-05-16T23:10:20.204370+00:00,recorded_legacy,exact:13,0.47140000000000004,0.305,0
wellington/2026-05-17,2026-05-16T23:10:20.204370+00:00,recorded_legacy,exact:14,0.4726000000000001,0.52,1
wellington/2026-05-17,2026-05-16T23:10:20.204370+00:00,recorded_legacy,exact:15,0.054900000000000004,0.105,0
wellington/2026-05-17,2026-05-16T23:10:20.204370+00:00,recorded_legacy,exact:16,0.0011000000000000003,0.009500000000000005,0
wellington/2026-05-17,2026-05-16T23:10:20.204370+00:00,recorded_legacy,exact:17,0.0,0.003500000000000001,0
wellington/2026-05-17,2026-05-16T23:10:20.204370+00:00,replay_kalman,exact:13,0.2636,0.305,0
wellington/2026-05-17,2026-05-16T23:10:20.204370+00:00,replay_kalman,exact:14,0.5512,0.52,1
wellington/2026-05-17,2026-05-16T23:10:20.204370+00:00,replay_kalman,exact:15,0.1728,0.105,0
wellington/2026-05-17,2026-05-16T23:10:20.204370+00:00,replay_kalman,exact:16,0.0122,0.009500000000000005,0
wellington/2026-05-17,2026-05-16T23:10:20.204370+00:00,replay_kalman,exact:17,0.0002,0.003500000000000001,0
wellington/2026-05-17,2026-05-16T23:30:19.755928+00:00,recorded_legacy,exact:13,0.5284,0.305,0
wellington/2026-05-17,2026-05-16T23:30:19.755928+00:00,recorded_legacy,exact:14,0.4352,0.5449999999999999,1
wellington/2026-05-17,2026-05-16T23:30:19.755928+00:00,recorded_legacy,exact:15,0.036,0.09499999999999999,0
wellington/2026-05-17,2026-05-16T23:30:19.755928+00:00,recorded_legacy,exact:16,0.0004,0.018000000000000006,0
wellington/2026-05-17,2026-05-16T23:30:19.755928+00:00,recorded_legacy,exact:17,0.0,0.003500000000000001,0
wellington/2026-05-17,2026-05-16T23:30:19.755928+00:00,replay_kalman,exact:13,0.2768,0.305,0
wellington/2026-05-17,2026-05-16T23:30:19.755928+00:00,replay_kalman,exact:14,0.5562,0.5449999999999999,1
wellington/2026-05-17,2026-05-16T23:30:19.755928+00:00,replay_kalman,exact:15,0.1562,0.09499999999999999,0
wellington/2026-05-17,2026-05-16T23:30:19.755928+00:00,replay_kalman,exact:16,0.0106,0.018000000000000006,0
wellington/2026-05-17,2026-05-16T23:30:19.755928+00:00,replay_kalman,exact:17,0.0002,0.003500000000000001,0
wellington/2026-05-17,2026-05-17T00:00:21.914998+00:00,recorded_legacy,exact:13,0.5949,0.515,0
wellington/2026-05-17,2026-05-17T00:00:21.914998+00:00,recorded_legacy,exact:14,0.3764,0.38,1
wellington/2026-05-17,2026-05-17T00:00:21.914998+00:00,recorded_legacy,exact:15,0.0286,0.08499999999999999,0
wellington/2026-05-17,2026-05-17T00:00:21.914998+00:00,recorded_legacy,exact:16,0.0001,0.014500000000000004,0
wellington/2026-05-17,2026-05-17T00:00:21.914998+00:00,recorded_legacy,exact:17,0.0,0.0025000000000000005,0
wellington/2026-05-17,2026-05-17T00:00:21.914998+00:00,replay_kalman,exact:13,0.3774,0.515,0
wellington/2026-05-17,2026-05-17T00:00:21.914998+00:00,replay_kalman,exact:14,0.4962,0.38,1
wellington/2026-05-17,2026-05-17T00:00:21.914998+00:00,replay_kalman,exact:15,0.1178,0.08499999999999999,0
wellington/2026-05-17,2026-05-17T00:00:21.914998+00:00,replay_kalman,exact:16,0.0084,0.014500000000000004,0
wellington/2026-05-17,2026-05-17T00:00:21.914998+00:00,replay_kalman,exact:17,0.0002,0.0025000000000000005,0
wellington/2026-05-17,2026-05-17T00:15:21.248734+00:00,recorded_legacy,exact:13,0.6334000000000001,0.515,0
wellington/2026-05-17,2026-05-17T00:15:21.248734+00:00,recorded_legacy,exact:14,0.34940000000000004,0.44,1
wellington/2026-05-17,2026-05-17T00:15:21.248734+00:00,recorded_legacy,exact:15,0.017100000000000004,0.024500000000000004,0
wellington/2026-05-17,2026-05-17T00:15:21.248734+00:00,recorded_legacy,exact:16,0.00010000000000000002,0.009500000000000005,0
wellington/2026-05-17,2026-05-17T00:15:21.248734+00:00,recorded_legacy,exact:17,0.0,0.0030000000000000005,0
wellington/2026-05-17,2026-05-17T00:15:21.248734+00:00,replay_kalman,exact:13,0.3602,0.515,0
wellington/2026-05-17,2026-05-17T00:15:21.248734+00:00,replay_kalman,exact:14,0.5212,0.44,1
wellington/2026-05-17,2026-05-17T00:15:21.248734+00:00,replay_kalman,exact:15,0.112,0.024500000000000004,0
wellington/2026-05-17,2026-05-17T00:15:21.248734+00:00,replay_kalman,exact:16,0.0066,0.009500000000000005,0
wellington/2026-05-17,2026-05-17T00:15:21.248734+00:00,replay_kalman,exact:17,0.0,0.0030000000000000005,0
wellington/2026-05-17,2026-05-17T01:00:20.900400+00:00,recorded_legacy,exact:14,0.3538,0.76,1
wellington/2026-05-17,2026-05-17T01:00:20.900400+00:00,recorded_legacy,exact:15,0.0166,0.064,0
wellington/2026-05-17,2026-05-17T01:00:20.900400+00:00,recorded_legacy,exact:16,0.0,0.03849999999999998,0
wellington/2026-05-17,2026-05-17T01:00:20.900400+00:00,replay_kalman,exact:14,0.4928,0.76,1
wellington/2026-05-17,2026-05-17T01:00:20.900400+00:00,replay_kalman,exact:15,0.122,0.064,0
wellington/2026-05-17,2026-05-17T01:00:20.900400+00:00,replay_kalman,exact:16,0.0078,0.03849999999999998,0
wellington/2026-05-17,2026-05-17T01:10:21.796932+00:00,recorded_legacy,exact:14,0.9884000000000001,0.9299999999999999,1
wellington/2026-05-17,2026-05-17T01:10:21.796932+00:00,recorded_legacy,exact:15,0.011500000000000002,0.04000000000000001,0
wellington/2026-05-17,2026-05-17T01:10:21.796932+00:00,recorded_legacy,exact:16,0.00010000000000000002,0.008000000000000004,0
wellington/2026-05-17,2026-05-17T01:10:21.796932+00:00,replay_kalman,exact:14,0.9004,0.9299999999999999,1
wellington/2026-05-17,2026-05-17T01:10:21.796932+00:00,replay_kalman,exact:15,0.0944,0.04000000000000001,0
wellington/2026-05-17,2026-05-17T01:10:21.796932+00:00,replay_kalman,exact:16,0.0052,0.008000000000000004,0
wellington/2026-05-25,2026-05-25T08:58:35.176387+00:00,recorded_legacy,exact:15,0.5903,0.9450000000000001,1
wellington/2026-05-25,2026-05-25T08:58:35.176387+00:00,recorded_legacy,exact:16,0.3519,0.05000000000000002,0
wellington/2026-05-25,2026-05-25T08:58:35.176387+00:00,recorded_legacy,higher:18,0.0021,0.0030000000000000005,0
wellington/2026-05-25,2026-05-25T08:58:35.176387+00:00,replay_kalman,exact:15,0.4506,0.9450000000000001,1
wellington/2026-05-25,2026-05-25T08:58:35.176387+00:00,replay_kalman,exact:16,0.257,0.05000000000000002,0
wellington/2026-05-25,2026-05-25T08:58:35.176387+00:00,replay_kalman,higher:18,0.137,0.0030000000000000005,0
wellington/2026-05-28,2026-05-27T22:50:00.676105+00:00,recorded_legacy,exact:14,0.0,0.0055000000000000005,0
wellington/2026-05-28,2026-05-27T22:50:00.676105+00:00,recorded_legacy,exact:15,0.0,0.505,0
wellington/2026-05-28,2026-05-27T22:50:00.676105+00:00,recorded_legacy,exact:16,0.6411,0.42,0
wellington/2026-05-28,2026-05-27T22:50:00.676105+00:00,recorded_legacy,exact:17,0.3479,0.0595,1
wellington/2026-05-28,2026-05-27T22:50:00.676105+00:00,recorded_legacy,exact:18,0.0108,0.005500000000000001,0
wellington/2026-05-28,2026-05-27T22:50:00.676105+00:00,recorded_legacy,higher:19,0.0002,0.003500000000000001,0
wellington/2026-05-28,2026-05-27T22:50:00.676105+00:00,replay_kalman,exact:14,0.0,0.0055000000000000005,0
wellington/2026-05-28,2026-05-27T22:50:00.676105+00:00,replay_kalman,exact:15,0.0,0.505,0
wellington/2026-05-28,2026-05-27T22:50:00.676105+00:00,replay_kalman,exact:16,0.6018,0.42,0
wellington/2026-05-28,2026-05-27T22:50:00.676105+00:00,replay_kalman,exact:17,0.3592,0.0595,1
wellington/2026-05-28,2026-05-27T22:50:00.676105+00:00,replay_kalman,exact:18,0.037,0.005500000000000001,0
wellington/2026-05-28,2026-05-27T22:50:00.676105+00:00,replay_kalman,higher:19,0.002,0.003500000000000001,0
wellington/2026-06-03,2026-06-02T21:38:09.870880+00:00,recorded_legacy,exact:15,0.6466000000000001,0.8049999999999999,1
wellington/2026-06-03,2026-06-02T21:38:09.870880+00:00,recorded_legacy,exact:16,0.3244000000000001,0.16500000000000004,0
wellington/2026-06-03,2026-06-02T21:38:09.870880+00:00,recorded_legacy,exact:17,0.028500000000000004,0.033500000000000016,0
wellington/2026-06-03,2026-06-02T21:38:09.870880+00:00,recorded_legacy,higher:18,0.0005000000000000001,0.006500000000000002,0
wellington/2026-06-03,2026-06-02T21:38:09.870880+00:00,replay_kalman,exact:15,0.6036,0.8049999999999999,1
wellington/2026-06-03,2026-06-02T21:38:09.870880+00:00,replay_kalman,exact:16,0.3414,0.16500000000000004,0
wellington/2026-06-03,2026-06-02T21:38:09.870880+00:00,replay_kalman,exact:17,0.053,0.033500000000000016,0
wellington/2026-06-03,2026-06-02T21:38:09.870880+00:00,replay_kalman,higher:18,0.002,0.006500000000000002,0
wellington/2026-06-07,2026-06-06T23:14:39.111111+00:00,recorded_legacy,exact:13,0.42090000000000005,0.09,0
wellington/2026-06-07,2026-06-06T23:14:39.111111+00:00,recorded_legacy,exact:14,0.5228000000000002,0.775,1
wellington/2026-06-07,2026-06-06T23:14:39.111111+00:00,recorded_legacy,exact:15,0.05580000000000001,0.15000000000000002,0
wellington/2026-06-07,2026-06-06T23:14:39.111111+00:00,recorded_legacy,exact:16,0.0005000000000000001,0.012500000000000004,0
wellington/2026-06-07,2026-06-06T23:14:39.111111+00:00,recorded_legacy,exact:17,0.0,0.0035000000000000005,0
wellington/2026-06-07,2026-06-06T23:14:39.111111+00:00,replay_kalman,exact:13,0.203,0.09,0
wellington/2026-06-07,2026-06-06T23:14:39.111111+00:00,replay_kalman,exact:14,0.5882,0.775,1
wellington/2026-06-07,2026-06-06T23:14:39.111111+00:00,replay_kalman,exact:15,0.1978,0.15000000000000002,0
wellington/2026-06-07,2026-06-06T23:14:39.111111+00:00,replay_kalman,exact:16,0.011,0.012500000000000004,0
wellington/2026-06-07,2026-06-06T23:14:39.111111+00:00,replay_kalman,exact:17,0.0,0.0035000000000000005,0
wellington/2026-06-09,2026-06-08T21:58:24.989221+00:00,recorded_legacy,exact:13,0.4125999999999999,0.64,1
wellington/2026-06-09,2026-06-08T21:58:24.989221+00:00,recorded_legacy,exact:14,0.5501999999999999,0.34,0
wellington/2026-06-09,2026-06-08T21:58:24.989221+00:00,recorded_legacy,exact:15,0.037099999999999994,0.015500000000000005,0
wellington/2026-06-09,2026-06-08T21:58:24.989221+00:00,recorded_legacy,exact:16,9.999999999999998e-05,0.0025000000000000005,0
wellington/2026-06-09,2026-06-08T21:58:24.989221+00:00,replay_kalman,exact:13,0.4024,0.64,1
wellington/2026-06-09,2026-06-08T21:58:24.989221+00:00,replay_kalman,exact:14,0.5016,0.34,0
wellington/2026-06-09,2026-06-08T21:58:24.989221+00:00,replay_kalman,exact:15,0.0908,0.015500000000000005,0
wellington/2026-06-09,2026-06-08T21:58:24.989221+00:00,replay_kalman,exact:16,0.0052,0.0025000000000000005,0
wellington/2026-06-09,2026-06-08T22:25:27.244920+00:00,recorded_legacy,exact:13,0.6813,0.6399999999999999,1
wellington/2026-06-09,2026-06-08T22:25:27.244920+00:00,recorded_legacy,exact:14,0.3077,0.35000000000000003,0
wellington/2026-06-09,2026-06-08T22:25:27.244920+00:00,recorded_legacy,exact:15,0.0109,0.009000000000000005,0
wellington/2026-06-09,2026-06-08T22:25:27.244920+00:00,recorded_legacy,exact:16,0.0001,0.0030000000000000005,0
wellington/2026-06-09,2026-06-08T22:25:27.244920+00:00,replay_kalman,exact:13,0.5762,0.6399999999999999,1
wellington/2026-06-09,2026-06-08T22:25:27.244920+00:00,replay_kalman,exact:14,0.3794,0.35000000000000003,0
wellington/2026-06-09,2026-06-08T22:25:27.244920+00:00,replay_kalman,exact:15,0.0426,0.009000000000000005,0
wellington/2026-06-09,2026-06-08T22:25:27.244920+00:00,replay_kalman,exact:16,0.0018,0.0030000000000000005,0
wellington/2026-06-12,2026-06-11T23:58:55.632823+00:00,recorded_legacy,exact:13,0.4610000000000001,0.385,0
wellington/2026-06-12,2026-06-11T23:58:55.632823+00:00,recorded_legacy,exact:14,0.47900000000000004,0.56,1
wellington/2026-06-12,2026-06-11T23:58:55.632823+00:00,recorded_legacy,exact:15,0.05890000000000001,0.04500000000000001,0
wellington/2026-06-12,2026-06-11T23:58:55.632823+00:00,recorded_legacy,exact:17,0.0,0.0020000000000000005,0
wellington/2026-06-12,2026-06-11T23:58:55.632823+00:00,replay_kalman,exact:13,0.3132,0.385,0
wellington/2026-06-12,2026-06-11T23:58:55.632823+00:00,replay_kalman,exact:14,0.534,0.56,1
wellington/2026-06-12,2026-06-11T23:58:55.632823+00:00,replay_kalman,exact:15,0.1438,0.04500000000000001,0
wellington/2026-06-12,2026-06-11T23:58:55.632823+00:00,replay_kalman,exact:17,0.0002,0.0020000000000000005,0
wellington/2026-06-12,2026-06-12T06:02:54.094986+00:00,recorded_legacy,exact:14,0.3915,0.995,1
wellington/2026-06-12,2026-06-12T06:02:54.094986+00:00,recorded_legacy,exact:15,0.5134,0.006000000000000001,0
wellington/2026-06-12,2026-06-12T06:02:54.094986+00:00,replay_kalman,exact:14,0.6508,0.995,1
wellington/2026-06-12,2026-06-12T06:02:54.094986+00:00,replay_kalman,exact:15,0.2736,0.006000000000000001,0
wellington/2026-06-22,2026-06-21T23:24:29.462329+00:00,recorded_legacy,exact:12,0.18419999999999997,0.02900000000000001,0
wellington/2026-06-22,2026-06-21T23:24:29.462329+00:00,recorded_legacy,exact:13,0.5261999999999999,0.595,0
wellington/2026-06-22,2026-06-21T23:24:29.462329+00:00,recorded_legacy,exact:14,0.26639999999999997,0.33,1
wellington/2026-06-22,2026-06-21T23:24:29.462329+00:00,recorded_legacy,exact:15,0.022799999999999997,0.009000000000000003,0
wellington/2026-06-22,2026-06-21T23:24:29.462329+00:00,recorded_legacy,exact:16,0.0003999999999999999,0.003000000000000001,0
wellington/2026-06-22,2026-06-21T23:24:29.462329+00:00,replay_kalman,exact:12,0.2094,0.02900000000000001,0
wellington/2026-06-22,2026-06-21T23:24:29.462329+00:00,replay_kalman,exact:13,0.5452,0.595,0
wellington/2026-06-22,2026-06-21T23:24:29.462329+00:00,replay_kalman,exact:14,0.2212,0.33,1
wellington/2026-06-22,2026-06-21T23:24:29.462329+00:00,replay_kalman,exact:15,0.0234,0.009000000000000003,0
wellington/2026-06-22,2026-06-21T23:24:29.462329+00:00,replay_kalman,exact:16,0.0008,0.003000000000000001,0
wellington/2026-08-06,2026-08-06T03:35:36.114589+00:00,recorded_legacy,exact:10,0.0,0.78,1
wellington/2026-08-06,2026-08-06T03:35:36.114589+00:00,recorded_legacy,exact:11,0.9851,0.2,0
wellington/2026-08-06,2026-08-06T03:35:36.114589+00:00,recorded_legacy,exact:12,0.0148,0.005,0
wellington/2026-08-06,2026-08-06T03:35:36.114589+00:00,replay_kalman,exact:10,0.4256,0.78,1
wellington/2026-08-06,2026-08-06T03:35:36.114589+00:00,replay_kalman,exact:11,0.5058,0.2,0
wellington/2026-08-06,2026-08-06T03:35:36.114589+00:00,replay_kalman,exact:12,0.0654,0.005,0
wellington/2026-08-11,2026-08-10T22:35:12.492230+00:00,recorded_legacy,exact:11,0.0293,0.047500000000000014,0
wellington/2026-08-11,2026-08-10T22:35:12.492230+00:00,recorded_legacy,exact:12,0.3699,0.54,1
wellington/2026-08-11,2026-08-10T22:35:12.492230+00:00,recorded_legacy,exact:13,0.5011,0.37,0
wellington/2026-08-11,2026-08-10T22:35:12.492230+00:00,recorded_legacy,exact:14,0.0959,0.03500000000000001,0
wellington/2026-08-11,2026-08-10T22:35:12.492230+00:00,replay_kalman,exact:11,0.0216,0.047500000000000014,0
wellington/2026-08-11,2026-08-10T22:35:12.492230+00:00,replay_kalman,exact:12,0.3216,0.54,1
wellington/2026-08-11,2026-08-10T22:35:12.492230+00:00,replay_kalman,exact:13,0.5098,0.37,0
wellington/2026-08-11,2026-08-10T22:35:12.492230+00:00,replay_kalman,exact:14,0.1372,0.03500000000000001,0
wellington/2026-08-11,2026-08-10T23:00:10.975368+00:00,recorded_legacy,exact:11,0.0273,0.016000000000000004,0
wellington/2026-08-11,2026-08-10T23:00:10.975368+00:00,recorded_legacy,exact:12,0.3469,0.5800000000000001,1
wellington/2026-08-11,2026-08-10T23:00:10.975368+00:00,recorded_legacy,exact:13,0.5171,0.365,0
wellington/2026-08-11,2026-08-10T23:00:10.975368+00:00,recorded_legacy,exact:14,0.1055,0.015000000000000005,0
wellington/2026-08-11,2026-08-10T23:00:10.975368+00:00,replay_kalman,exact:11,0.0092,0.016000000000000004,0
wellington/2026-08-11,2026-08-10T23:00:10.975368+00:00,replay_kalman,exact:12,0.26,0.5800000000000001,1
wellington/2026-08-11,2026-08-10T23:00:10.975368+00:00,replay_kalman,exact:13,0.53,0.365,0
wellington/2026-08-11,2026-08-10T23:00:10.975368+00:00,replay_kalman,exact:14,0.183,0.015000000000000005,0
istanbul/2026-05-24,2026-05-24T10:33:48.146555+00:00,recorded_legacy,exact:19,0.8471000000000001,0.5249999999999999,0
istanbul/2026-05-24,2026-05-24T10:33:48.146555+00:00,recorded_legacy,exact:20,0.15040000000000003,0.255,1
istanbul/2026-05-24,2026-05-24T10:33:48.146555+00:00,recorded_legacy,exact:21,0.0025000000000000005,0.08050000000000002,0
istanbul/2026-05-24,2026-05-24T10:33:48.146555+00:00,recorded_legacy,exact:22,0.0,0.025500000000000005,0
istanbul/2026-05-24,2026-05-24T10:33:48.146555+00:00,recorded_legacy,higher:23,0,0.0035000000000000014,0
istanbul/2026-05-24,2026-05-24T10:33:48.146555+00:00,replay_kalman,exact:19,0.4504,0.5249999999999999,0
istanbul/2026-05-24,2026-05-24T10:33:48.146555+00:00,replay_kalman,exact:20,0.4678,0.255,1
istanbul/2026-05-24,2026-05-24T10:33:48.146555+00:00,replay_kalman,exact:21,0.0786,0.08050000000000002,0
istanbul/2026-05-24,2026-05-24T10:33:48.146555+00:00,replay_kalman,exact:22,0.003,0.025500000000000005,0
istanbul/2026-05-24,2026-05-24T10:33:48.146555+00:00,replay_kalman,higher:23,0.0002,0.0035000000000000014,0
istanbul/2026-05-24,2026-05-24T12:08:33.559385+00:00,recorded_legacy,exact:20,0.9988,0.825,1
istanbul/2026-05-24,2026-05-24T12:08:33.559385+00:00,recorded_legacy,exact:21,0.0012,0.1155,0
istanbul/2026-05-24,2026-05-24T12:08:33.559385+00:00,recorded_legacy,exact:22,0.0,0.020000000000000004,0
istanbul/2026-05-24,2026-05-24T12:08:33.559385+00:00,recorded_legacy,higher:23,0,0.005000000000000001,0
istanbul/2026-05-24,2026-05-24T12:08:33.559385+00:00,replay_kalman,exact:20,0.7906,0.825,1
istanbul/2026-05-24,2026-05-24T12:08:33.559385+00:00,replay_kalman,exact:21,0.1932,0.1155,0
istanbul/2026-05-24,2026-05-24T12:08:33.559385+00:00,replay_kalman,exact:22,0.0152,0.020000000000000004,0
istanbul/2026-05-24,2026-05-24T12:08:33.559385+00:00,replay_kalman,higher:23,0.001,0.005000000000000001,0
istanbul/2026-05-25,2026-05-25T11:50:52.675456+00:00,recorded_legacy,exact:21,0.0,0.22999999999999998,0
istanbul/2026-05-25,2026-05-25T11:50:52.675456+00:00,recorded_legacy,exact:23,0.07190000000000002,0.225,1
istanbul/2026-05-25,2026-05-25T11:50:52.675456+00:00,recorded_legacy,exact:24,0.0004000000000000001,0.017500000000000005,0
istanbul/2026-05-25,2026-05-25T11:50:52.675456+00:00,recorded_legacy,exact:25,0.0,0.003500000000000001,0
istanbul/2026-05-25,2026-05-25T11:50:52.675456+00:00,recorded_legacy,higher:26,0,0.0015000000000000005,0
istanbul/2026-05-25,2026-05-25T11:50:52.675456+00:00,replay_kalman,exact:21,0.528,0.22999999999999998,0
istanbul/2026-05-25,2026-05-25T11:50:52.675456+00:00,replay_kalman,exact:23,0.0708,0.225,1
istanbul/2026-05-25,2026-05-25T11:50:52.675456+00:00,replay_kalman,exact:24,0.0032,0.017500000000000005,0
istanbul/2026-05-25,2026-05-25T11:50:52.675456+00:00,replay_kalman,exact:25,0.0,0.003500000000000001,0
istanbul/2026-05-25,2026-05-25T11:50:52.675456+00:00,replay_kalman,higher:26,0,0.0015000000000000005,0
istanbul/2026-06-06,2026-06-06T13:37:32.450308+00:00,recorded_legacy,exact:22,0.9476,0.778,1
istanbul/2026-06-06,2026-06-06T13:37:32.450308+00:00,recorded_legacy,exact:23,0.0523,0.16499999999999998,0
istanbul/2026-06-06,2026-06-06T13:37:32.450308+00:00,recorded_legacy,exact:24,0.0001,0.04500000000000001,0
istanbul/2026-06-06,2026-06-06T13:37:32.450308+00:00,recorded_legacy,exact:25,0.0,0.021500000000000002,0
istanbul/2026-06-06,2026-06-06T13:37:32.450308+00:00,recorded_legacy,exact:26,0.0,0.005000000000000001,0
istanbul/2026-06-06,2026-06-06T13:37:32.450308+00:00,recorded_legacy,exact:27,0.0,0.0025000000000000005,0
istanbul/2026-06-06,2026-06-06T13:37:32.450308+00:00,replay_kalman,exact:22,0.719,0.778,1
istanbul/2026-06-06,2026-06-06T13:37:32.450308+00:00,replay_kalman,exact:23,0.2628,0.16499999999999998,0
istanbul/2026-06-06,2026-06-06T13:37:32.450308+00:00,replay_kalman,exact:24,0.0178,0.04500000000000001,0
istanbul/2026-06-06,2026-06-06T13:37:32.450308+00:00,replay_kalman,exact:25,0.0004,0.021500000000000002,0
istanbul/2026-06-06,2026-06-06T13:37:32.450308+00:00,replay_kalman,exact:26,0.0,0.005000000000000001,0
istanbul/2026-06-06,2026-06-06T13:37:32.450308+00:00,replay_kalman,exact:27,0.0,0.0025000000000000005,0
istanbul/2026-06-10,2026-06-10T11:55:38.481806+00:00,recorded_legacy,exact:24,0.9862,0.86,1
