cluster,ts,model,bucket,model_p,market_p,realized
istanbul/2026-05-12,2026-05-12T03:00:00+00:00,ecmwf_proxy_kalman,exact:18,0.0,0.002,0
istanbul/2026-05-12,2026-05-12T03:00:00+00:00,ecmwf_proxy_kalman,exact:19,0.0,0.001,0
istanbul/2026-05-12,2026-05-12T03:00:00+00:00,ecmwf_proxy_kalman,exact:20,0.0,0.002,0
istanbul/2026-05-12,2026-05-12T03:00:00+00:00,ecmwf_proxy_kalman,exact:21,0.0,0.003,0
istanbul/2026-05-12,2026-05-12T03:00:00+00:00,ecmwf_proxy_kalman,exact:22,0.0,0.0035,0
istanbul/2026-05-12,2026-05-12T03:00:00+00:00,ecmwf_proxy_kalman,exact:23,0.037,0.0385,0
istanbul/2026-05-12,2026-05-12T03:00:00+00:00,ecmwf_proxy_kalman,exact:24,0.34,0.14,0
istanbul/2026-05-12,2026-05-12T03:00:00+00:00,ecmwf_proxy_kalman,exact:25,0.4805,0.245,0
istanbul/2026-05-12,2026-05-12T03:00:00+00:00,ecmwf_proxy_kalman,exact:26,0.1345,0.27,0
istanbul/2026-05-12,2026-05-12T03:00:00+00:00,ecmwf_proxy_kalman,higher:27,0.008,0.315,1
istanbul/2026-05-12,2026-05-12T03:30:00+00:00,ecmwf_proxy_kalman,exact:18,0.0,0.002,0
istanbul/2026-05-12,2026-05-12T03:30:00+00:00,ecmwf_proxy_kalman,exact:19,0.0,0.0015,0
istanbul/2026-05-12,2026-05-12T03:30:00+00:00,ecmwf_proxy_kalman,exact:20,0.0,0.002,0
istanbul/2026-05-12,2026-05-12T03:30:00+00:00,ecmwf_proxy_kalman,exact:21,0.0,0.003,0
istanbul/2026-05-12,2026-05-12T03:30:00+00:00,ecmwf_proxy_kalman,exact:22,0.0,0.0035,0
istanbul/2026-05-12,2026-05-12T03:30:00+00:00,ecmwf_proxy_kalman,exact:23,0.041,0.0385,0
istanbul/2026-05-12,2026-05-12T03:30:00+00:00,ecmwf_proxy_kalman,exact:24,0.33,0.14,0
istanbul/2026-05-12,2026-05-12T03:30:00+00:00,ecmwf_proxy_kalman,exact:25,0.4905,0.255,0
istanbul/2026-05-12,2026-05-12T03:30:00+00:00,ecmwf_proxy_kalman,exact:26,0.1285,0.265,0
istanbul/2026-05-12,2026-05-12T03:30:00+00:00,ecmwf_proxy_kalman,higher:27,0.01,0.365,1
istanbul/2026-05-12,2026-05-12T04:00:00+00:00,ecmwf_proxy_kalman,exact:18,0.0,0.0025,0
istanbul/2026-05-12,2026-05-12T04:00:00+00:00,ecmwf_proxy_kalman,exact:19,0.0,0.0015,0
istanbul/2026-05-12,2026-05-12T04:00:00+00:00,ecmwf_proxy_kalman,exact:20,0.0,0.002,0
istanbul/2026-05-12,2026-05-12T04:00:00+00:00,ecmwf_proxy_kalman,exact:21,0.0,0.003,0
istanbul/2026-05-12,2026-05-12T04:00:00+00:00,ecmwf_proxy_kalman,exact:22,0.0005,0.0035,0
istanbul/2026-05-12,2026-05-12T04:00:00+00:00,ecmwf_proxy_kalman,exact:23,0.033,0.0385,0
istanbul/2026-05-12,2026-05-12T04:00:00+00:00,ecmwf_proxy_kalman,exact:24,0.351,0.135,0
istanbul/2026-05-12,2026-05-12T04:00:00+00:00,ecmwf_proxy_kalman,exact:25,0.48,0.255,0
istanbul/2026-05-12,2026-05-12T04:00:00+00:00,ecmwf_proxy_kalman,exact:26,0.1195,0.315,0
istanbul/2026-05-12,2026-05-12T04:00:00+00:00,ecmwf_proxy_kalman,higher:27,0.016,0.315,1
istanbul/2026-05-12,2026-05-12T04:30:00+00:00,ecmwf_proxy_kalman,exact:18,0.0,0.0025,0
istanbul/2026-05-12,2026-05-12T04:30:00+00:00,ecmwf_proxy_kalman,exact:19,0.0,0.0015,0
istanbul/2026-05-12,2026-05-12T04:30:00+00:00,ecmwf_proxy_kalman,exact:20,0.0,0.002,0
istanbul/2026-05-12,2026-05-12T04:30:00+00:00,ecmwf_proxy_kalman,exact:21,0.0,0.003,0
istanbul/2026-05-12,2026-05-12T04:30:00+00:00,ecmwf_proxy_kalman,exact:22,0.001,0.0035,0
istanbul/2026-05-12,2026-05-12T04:30:00+00:00,ecmwf_proxy_kalman,exact:23,0.029,0.039,0
istanbul/2026-05-12,2026-05-12T04:30:00+00:00,ecmwf_proxy_kalman,exact:24,0.353,0.14,0
istanbul/2026-05-12,2026-05-12T04:30:00+00:00,ecmwf_proxy_kalman,exact:25,0.4605,0.255,0
istanbul/2026-05-12,2026-05-12T04:30:00+00:00,ecmwf_proxy_kalman,exact:26,0.147,0.295,0
istanbul/2026-05-12,2026-05-12T04:30:00+00:00,ecmwf_proxy_kalman,higher:27,0.009500000000000001,0.315,1
istanbul/2026-05-12,2026-05-12T05:00:00+00:00,ecmwf_proxy_kalman,exact:18,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T05:00:00+00:00,ecmwf_proxy_kalman,exact:19,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T05:00:00+00:00,ecmwf_proxy_kalman,exact:20,0.0,0.002,0
istanbul/2026-05-12,2026-05-12T05:00:00+00:00,ecmwf_proxy_kalman,exact:21,0.0,0.003,0
istanbul/2026-05-12,2026-05-12T05:00:00+00:00,ecmwf_proxy_kalman,exact:22,0.0,0.0035,0
istanbul/2026-05-12,2026-05-12T05:00:00+00:00,ecmwf_proxy_kalman,exact:23,0.03,0.0395,0
istanbul/2026-05-12,2026-05-12T05:00:00+00:00,ecmwf_proxy_kalman,exact:24,0.3325,0.15,0
istanbul/2026-05-12,2026-05-12T05:00:00+00:00,ecmwf_proxy_kalman,exact:25,0.464,0.26,0
istanbul/2026-05-12,2026-05-12T05:00:00+00:00,ecmwf_proxy_kalman,exact:26,0.1635,0.295,0
istanbul/2026-05-12,2026-05-12T05:00:00+00:00,ecmwf_proxy_kalman,higher:27,0.01,0.31,1
istanbul/2026-05-12,2026-05-12T05:30:00+00:00,ecmwf_proxy_kalman,exact:18,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T05:30:00+00:00,ecmwf_proxy_kalman,exact:19,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T05:30:00+00:00,ecmwf_proxy_kalman,exact:20,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T05:30:00+00:00,ecmwf_proxy_kalman,exact:21,0.0,0.003,0
istanbul/2026-05-12,2026-05-12T05:30:00+00:00,ecmwf_proxy_kalman,exact:22,0.0005,0.0035,0
istanbul/2026-05-12,2026-05-12T05:30:00+00:00,ecmwf_proxy_kalman,exact:23,0.035,0.04,0
istanbul/2026-05-12,2026-05-12T05:30:00+00:00,ecmwf_proxy_kalman,exact:24,0.36,0.16,0
istanbul/2026-05-12,2026-05-12T05:30:00+00:00,ecmwf_proxy_kalman,exact:25,0.4575,0.315,0
istanbul/2026-05-12,2026-05-12T05:30:00+00:00,ecmwf_proxy_kalman,exact:26,0.137,0.275,0
istanbul/2026-05-12,2026-05-12T05:30:00+00:00,ecmwf_proxy_kalman,higher:27,0.01,0.18,1
istanbul/2026-05-12,2026-05-12T06:00:00+00:00,ecmwf_proxy_kalman,exact:18,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T06:00:00+00:00,ecmwf_proxy_kalman,exact:19,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T06:00:00+00:00,ecmwf_proxy_kalman,exact:20,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T06:00:00+00:00,ecmwf_proxy_kalman,exact:21,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T06:00:00+00:00,ecmwf_proxy_kalman,exact:22,0.004,0.0035,0
istanbul/2026-05-12,2026-05-12T06:00:00+00:00,ecmwf_proxy_kalman,exact:23,0.1295,0.039,0
istanbul/2026-05-12,2026-05-12T06:00:00+00:00,ecmwf_proxy_kalman,exact:24,0.535,0.16,0
istanbul/2026-05-12,2026-05-12T06:00:00+00:00,ecmwf_proxy_kalman,exact:25,0.2885,0.32,0
istanbul/2026-05-12,2026-05-12T06:00:00+00:00,ecmwf_proxy_kalman,exact:26,0.0425,0.275,0
istanbul/2026-05-12,2026-05-12T06:00:00+00:00,ecmwf_proxy_kalman,higher:27,0.0005,0.295,1
istanbul/2026-05-12,2026-05-12T06:30:00+00:00,ecmwf_proxy_kalman,exact:20,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T06:30:00+00:00,ecmwf_proxy_kalman,exact:21,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T06:30:00+00:00,ecmwf_proxy_kalman,exact:22,0.003,0.003,0
istanbul/2026-05-12,2026-05-12T06:30:00+00:00,ecmwf_proxy_kalman,exact:23,0.1245,0.031,0
istanbul/2026-05-12,2026-05-12T06:30:00+00:00,ecmwf_proxy_kalman,exact:24,0.522,0.12,0
istanbul/2026-05-12,2026-05-12T06:30:00+00:00,ecmwf_proxy_kalman,exact:25,0.311,0.295,0
istanbul/2026-05-12,2026-05-12T06:30:00+00:00,ecmwf_proxy_kalman,exact:26,0.0385,0.185,0
istanbul/2026-05-12,2026-05-12T06:30:00+00:00,ecmwf_proxy_kalman,higher:27,0.001,0.435,1
istanbul/2026-05-12,2026-05-12T07:00:00+00:00,ecmwf_proxy_kalman,exact:21,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T07:00:00+00:00,ecmwf_proxy_kalman,exact:22,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T07:00:00+00:00,ecmwf_proxy_kalman,exact:23,0.124,0.02,0
istanbul/2026-05-12,2026-05-12T07:00:00+00:00,ecmwf_proxy_kalman,exact:24,0.5265,0.115,0
istanbul/2026-05-12,2026-05-12T07:00:00+00:00,ecmwf_proxy_kalman,exact:25,0.3095,0.29,0
istanbul/2026-05-12,2026-05-12T07:00:00+00:00,ecmwf_proxy_kalman,exact:26,0.039,0.235,0
istanbul/2026-05-12,2026-05-12T07:00:00+00:00,ecmwf_proxy_kalman,higher:27,0.001,0.33,1
istanbul/2026-05-12,2026-05-12T07:30:00+00:00,ecmwf_proxy_kalman,exact:22,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T07:30:00+00:00,ecmwf_proxy_kalman,exact:23,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T07:30:00+00:00,ecmwf_proxy_kalman,exact:24,0.569,0.075,0
istanbul/2026-05-12,2026-05-12T07:30:00+00:00,ecmwf_proxy_kalman,exact:25,0.3795,0.22,0
istanbul/2026-05-12,2026-05-12T07:30:00+00:00,ecmwf_proxy_kalman,exact:26,0.05,0.33,0
istanbul/2026-05-12,2026-05-12T07:30:00+00:00,ecmwf_proxy_kalman,higher:27,0.0015,0.34,1
istanbul/2026-05-12,2026-05-12T08:00:00+00:00,ecmwf_proxy_kalman,exact:22,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T08:00:00+00:00,ecmwf_proxy_kalman,exact:23,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T08:00:00+00:00,ecmwf_proxy_kalman,exact:24,0.567,0.035,0
istanbul/2026-05-12,2026-05-12T08:00:00+00:00,ecmwf_proxy_kalman,exact:25,0.381,0.175,0
istanbul/2026-05-12,2026-05-12T08:00:00+00:00,ecmwf_proxy_kalman,exact:26,0.0505,0.275,0
istanbul/2026-05-12,2026-05-12T08:00:00+00:00,ecmwf_proxy_kalman,higher:27,0.0015,0.555,1
istanbul/2026-05-12,2026-05-12T08:30:00+00:00,ecmwf_proxy_kalman,exact:23,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T08:30:00+00:00,ecmwf_proxy_kalman,exact:24,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T08:30:00+00:00,ecmwf_proxy_kalman,exact:25,0.893,0.125,0
istanbul/2026-05-12,2026-05-12T08:30:00+00:00,ecmwf_proxy_kalman,exact:26,0.103,0.33,0
istanbul/2026-05-12,2026-05-12T08:30:00+00:00,ecmwf_proxy_kalman,higher:27,0.004,0.56,1
istanbul/2026-05-12,2026-05-12T09:00:00+00:00,ecmwf_proxy_kalman,exact:23,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T09:00:00+00:00,ecmwf_proxy_kalman,exact:24,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T09:00:00+00:00,ecmwf_proxy_kalman,exact:25,0.9155,0.055,0
istanbul/2026-05-12,2026-05-12T09:00:00+00:00,ecmwf_proxy_kalman,exact:26,0.081,0.365,0
istanbul/2026-05-12,2026-05-12T09:00:00+00:00,ecmwf_proxy_kalman,higher:27,0.0035,0.575,1
istanbul/2026-05-12,2026-05-12T09:30:00+00:00,ecmwf_proxy_kalman,exact:24,0.0,0.0005,0
istanbul/2026-05-12,2026-05-12T09:30:00+00:00,ecmwf_proxy_kalman,exact:25,0.891,0.045,0
istanbul/2026-05-12,2026-05-12T09:30:00+00:00,ecmwf_proxy_kalman,exact:26,0.1045,0.49,0
